Frequency_[Hz],Amplitude_[m],Phase_[rad]
0.051666666666666666,0.1860183317629705,4.846350532897925
0.06,0.5844564473849296,0.13038834331032634
0.06833333333333333,0.9424763090906345,3.9813292796090525
0.07833333333333334,1.3763368275366497,4.704873552725635
0.08666666666666667,1.1456723883595301,3.1322119352256292
0.09666666666666666,0.8701546445068512,1.4124389803026796
0.10500000000000001,0.7553215722304157,1.2444656817555668
0.11333333333333334,0.6571558916084503,4.778555396547324
0.12333333333333334,0.5546378422878676,1.0625547235745711
0.13166666666666668,0.48239041710705527,0.5550554224571163
0.1416666666666667,0.40995075095297734,4.306242740899814
0.15000000000000002,0.35972211067810916,5.990347064774806
0.16000000000000003,0.309445847255076,0.02480768898038398
0.16833333333333336,0.27440087762186244,3.2181989037565684
0.1766666666666667,0.24446012197260156,5.105848086558706
0.1866666666666667,0.21406462852444233,3.848614783366913
0.19500000000000003,0.19253195299628695,4.534922405866221
0.20500000000000002,0.1704170411883379,1.8339114230470697
0.21333333333333335,0.15456860688529134,5.766544881882964
0.22333333333333336,0.13811080265828346,4.489812063110712
