WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
15.0	12.1	9.8169	1173.703	5000.0085	43.0935	420.22452519999996	4179.6571458	518.2729	4180.0545	0.2319	-0.0489	0.2116	0.2495	5.3693
15.25	12.1	10.2577	1173.7028	5000.0058	43.0935	411.0847993	4179.6709556999995	509.0302	4180.0372	0.2272	-0.0489	0.2013	0.2361	5.2814
15.5	12.1	10.6883	1173.7034	5000.0065	43.0935	402.3694645	4179.7169888	500.2133	4180.0182	0.2227	-0.049	0.1917	0.2237	5.1963
15.75	12.1	11.1071	1173.703	5000.0061	43.0935	394.2026336	4179.7913498	491.9506	4180.0053	0.2186	-0.0491	0.1827	0.2122	5.114
16.0	12.1	11.5169	1173.7027	5000.0008	43.0935	386.4117198	4179.8674814	484.0658	4179.984	0.2146	-0.0491	0.1743	0.2015	5.0341
16.25	12.1	11.916	1173.7027	5000.0034	43.0935	379.1308128	4179.9489245	476.6968	4179.967	0.211	-0.0492	0.1663	0.1917	4.9567
16.5	12.1	12.3063	1173.7021	4999.9992	43.0935	372.2556446	4180.032138	469.739	4179.9491	0.2076	-0.0492	0.1589	0.1825	4.8817
16.75	12.1	12.689	1173.7015	4999.9996	43.0935	365.7443565	4180.0997712	463.1525	4179.9371	0.2044	-0.0493	0.1519	0.174	4.8088
17.0	12.1	13.0641	1173.7006	4999.9923	43.0935	359.5587764	4180.155719	456.8932	4179.9218	0.2014	-0.0493	0.1453	0.1661	4.7381
17.25	12.1	13.4312	1173.7004	4999.9923	43.0935	353.75301740000003	4180.2035226	451.0265	4179.9105	0.1986	-0.0494	0.139	0.1587	4.6695
17.5	12.1	13.7812	1173.699	4999.9873	43.0935	348.9661875	4180.1904208999995	446.1928	4179.9132	0.1964	-0.0494	0.1331	0.1521	4.6028
17.75	12.1	14.1251	1173.6988	4999.9877	43.0935	344.47513540000006	4180.2300801	441.6577	4179.9182	0.1943	-0.0495	0.1276	0.1459	4.538
