WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
11.75	12.1	1.9882	1173.7017	5000.0049	43.0935	639.7907576	4156.3706626	733.2879	4184.6713	0.0	0.0	0.4375	0.619	6.849
12.0	12.1	3.0565	1173.7023	5000.006	43.0936	601.2888725	4156.2967778	694.7864	4184.684	0.0	0.0	0.4107	0.5577	6.7063
12.25	12.1	3.9342	1173.7017	5000.0049	43.0935	572.4449166999999	4156.2419829	665.9435	4184.6902	0.0	0.0	0.3861	0.5095	6.5694
12.5	12.1	4.6792	1173.7028	5000.0056	43.0935	549.1514568	4156.2179438	642.6497	4184.698	0.0	0.0	0.3634	0.4694	6.438
12.75	12.1	5.3558	1173.702	5000.006	43.0935	528.9326334000001	4156.2076919	622.4308	4184.7069	0.0	0.0	0.3424	0.4346	6.3118
13.0	12.1	5.9782	1173.7018	5000.0068	43.0935	511.2377734	4156.1864809	604.7362	4184.7134	0.0	0.0	0.323	0.404	6.1904
13.25	12.1	6.5591	1173.703	5000.0053	43.0935	495.47411969999996	4156.167744599999	588.9709	4184.7144	0.0	0.0	0.3051	0.3769	6.0736
13.5	12.1	7.107	1173.7023	5000.0056	43.0935	481.2475672	4156.1334536	574.7443	4184.716	0.0	0.0	0.2885	0.3527	5.9611
13.75	12.1	7.628	1173.7027	5000.0056	43.0935	468.27882059999996	4156.0772446	561.7761	4184.717	0.0	0.0	0.273	0.3308	5.8527
14.0	12.1	8.1264	1173.7029	5000.0083	43.0935	456.3576761	4156.031641	549.8547	4184.7163	0.0	0.0	0.2586	0.311	5.7482
14.25	12.1	8.6057	1173.7033	5000.0079	43.0935	445.3423166	4156.0291664	538.8392	4184.7202	0.0	0.0	0.2453	0.2929	5.6474
14.5	12.1	9.0684	1173.703	5000.0053	43.0935	435.0909252	4156.0284594	528.5888	4184.7281	0.0	0.0	0.2328	0.2764	5.55
14.75	12.1	9.5183	1173.7033	5000.0099	43.0935	425.4151536	4156.0146723	518.9132	4184.7303	0.0	0.0	0.2211	0.2612	5.4559
15.0	12.1	9.9574	1173.7038	5000.0056	43.0935	416.1871767	4155.9669477	509.6875	4184.7303	0.0	0.0	0.2103	0.247	5.365
15.25	12.1	10.3916	1173.7032	5000.0072	43.0935	407.02883390000005	4155.9149809	500.5295	4184.7294	0.0	0.0	0.2001	0.2338	5.2771
15.5	12.1	10.8151	1173.7038	5000.0091	43.0935	398.35234360000004	4155.8467523	491.8538	4184.7268	0.0	0.0	0.1906	0.2215	5.192
15.75	12.1	11.2269	1173.704	5000.0095	43.0935	390.2496835	4155.8004418	483.7526	4184.7264	0.0	0.0	0.1816	0.2101	5.1096
16.0	12.1	11.6283	1173.7039	5000.0068	43.0935	382.6481825	4155.7332738000005	476.1532	4184.7238	0.0	0.0	0.1732	0.1996	5.0297
16.25	12.1	12.0197	1173.7031	5000.0099	43.0935	375.53916350000003	4155.7011038	469.0459	4184.731	0.0	0.0	0.1654	0.1899	4.9524
16.5	12.1	12.4037	1173.7041	5000.0087	43.0935	368.7592251	4155.6201487	462.2686	4184.7255	0.0	0.0	0.158	0.1809	4.8773
16.75	12.1	12.7785	1173.7039	5000.0103	43.0935	362.4391209	4155.5335374	455.9503	4184.7258	0.0	0.0	0.151	0.1725	4.8046
17.0	12.1	13.147	1173.7035	5000.0114	43.0935	356.4054708	4155.39001	449.9184	4184.7124	0.0	0.0	0.1444	0.1647	4.7339
17.25	12.1	13.5078	1173.7046	5000.0068	43.0934	350.78469	4155.2270392	444.2994	4184.698	0.0	0.0	0.1382	0.1574	4.6653
17.5	12.1	13.8535	1173.7032	5000.0064	43.0935	346.0623187	4155.1047228	439.5789	4184.6902	0.0	0.0	0.1324	0.1509	4.5987
17.75	12.1	14.1942	1173.703	5000.0068	43.0935	341.6198936	4154.973215	435.1383	4184.683	0.0	0.0	0.1269	0.1448	4.534
18.0	12.1	14.5338	1173.7027	5000.0049	43.0935	337.3650574	4154.8533731	430.8834	4184.6736	0.0	0.0	0.1216	0.1391	4.471
18.25	12.1	14.8683	1173.7036	5000.0041	43.0935	333.3080601	4154.6681309000005	426.8236	4184.6449	0.0	0.0	0.1167	0.1337	4.4098
18.5	12.1	15.198	1173.7026	5000.001	43.0935	329.4876776	4154.5345019	422.997	4184.6243	0.0	0.0	0.112	0.1286	4.3502
18.75	12.1	15.5233	1173.7021	4999.9972	43.0935	325.8495693	4154.4676875	419.3466	4184.596	0.0	0.0	0.1076	0.1238	4.2922
19.0	12.1	15.8446	1173.7011	4999.9929	43.0935	322.3590808	4154.4698086	415.8421	4184.5757	0.0	0.0	0.1034	0.1193	4.2357
19.25	12.1	16.162	1173.7003	4999.9929	43.0935	319.1351433	4154.4874843	412.5998	4184.5513	0.0	0.0	0.0994	0.115	4.1807
19.5	12.1	16.4761	1173.7005	4999.9879	43.0934	316.058446	4154.5055136	409.5068	4184.518	0.0	0.0	0.0957	0.111	4.127
19.75	12.1	16.7868	1173.6993	4999.9906	43.0935	313.11418349999997	4154.5680858999995	406.5494	4184.5056	0.0	0.0	0.0921	0.1072	4.0748
20.0	12.1	17.0946	1173.699	4999.9853	43.0935	310.3938455	4154.667423899999	403.8256	4184.5066	0.0	0.0	0.0887	0.1036	4.0238
20.25	12.1	17.3996	1173.6983	4999.9822	43.0934	307.83680050000004	4154.7883262	401.2704	4184.5186	0.0	0.0	0.0854	0.1002	3.9741
20.5	12.1	17.7028	1173.7026	4999.9795	43.0932	305.3631103	4154.8141329	398.8039	4184.5239	0.0	0.0	0.0823	0.097	3.9256
20.75	12.0999	18.0029	1173.6908	4999.9829	43.0937	302.8663714	4155.1298224	396.3224	4184.6328	0.0	0.0	0.0794	0.0939	3.8783
21.0	12.1	18.3015	1173.6965	4999.9841	43.0935	300.4095474	4155.2645119	393.8815	4184.6579	0.0	0.0	0.0766	0.091	3.8321
21.25	12.1	18.6065	1173.6965	4999.9833	43.0936	297.8645419	4155.3917776	391.3511	4184.7056	0.0	0.0	0.0739	0.0881	3.787
21.5	12.1	18.9093	1173.696	4999.976	43.0935	295.4142799	4155.3097619	388.9074	4184.7016	0.0	0.0	0.0714	0.0853	3.743
21.75	12.1	19.2041	1173.6995	4999.9853	43.0935	293.1847428	4155.6745902	386.6867	4184.7604	0.0	0.0	0.0689	0.0828	3.6999
22.0	12.0998	19.5126	1173.6786	4999.9737	43.0942	290.8266754	4155.8541761	384.3304	4184.8364	0.0	0.0	0.0666	0.0802	3.6578
22.25	12.0998	19.8126	1173.6838	4999.9833	43.094	288.5890577	4155.592221	382.1007	4184.8145	0.0	0.0	0.0644	0.0778	3.6167
22.5	12.1001	20.1321	1173.7067	5000.0068	43.0934	286.2474769	4156.8125573	379.7622	4184.9117	0.0	0.0	0.0623	0.0755	3.5766
22.75	12.1	20.4374	1173.7039	4999.9926	43.0933	284.08735690000003	4155.772514	377.5967	4184.7708	0.0	0.0	0.0602	0.0733	3.5373
23.0	12.1002	20.73	1173.7184	4999.9799	43.0927	282.2407528	4155.8545297	375.7211	4184.6625	0.0	0.0	0.0583	0.0712	3.4989
23.25	12.1002	21.0325	1173.7212	4999.956	43.0924	280.3042861	4155.2715822	373.8191	4184.6511	0.0	0.0	0.0564	0.0692	3.4612
23.5	12.0999	21.3292	1173.69	4999.9764	43.0937	278.43094549999995	4156.0443676	371.9384	4184.8504	0.0	0.0	0.0547	0.0673	3.4243
23.75	12.1	21.6284	1173.6966	4999.9933	43.0936	276.49014020000004	4156.0556801	369.9927	4184.8308	0.0	0.0	0.0529	0.0654	3.3883
24.0	12.1	21.9091	1173.7016	4999.9764	43.0933	274.8961494	4155.7269105000005	368.4057	4184.7842	0.0	0.0	0.0513	0.0637	3.353
24.25	12.1001	22.1892	1173.7052	4999.9987	43.0934	273.3273223	4156.539289599999	366.8376	4184.8833	0.0	0.0	0.0497	0.0621	3.3184
24.5	12.0999	22.4826	1173.6906	4999.9645	43.0936	271.57952919999997	4156.3430884	365.0802	4184.8615	0.0	0.0	0.0482	0.0604	3.2845
24.75	12.0999	22.7738	1173.6884	5000.0014	43.094	269.8257705	4156.4187408	363.3248	4184.9068	0.0	0.0	0.0468	0.0588	3.2513
25.0	12.1001	23.0493	1173.7113	5000.0164	43.0933	268.2874218	4156.0005317000005	361.7842	4184.7891	0.0	0.0	0.0454	0.0573	3.2189
