WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
18.25	12.1	14.8068	1173.7033	5000.0082	43.0935	335.9708774	4179.9938559	433.1386	4180.1312	0.1906	-0.0496	0.1174	0.1346	4.4137
18.5	12.1	15.1401	1173.7036	5000.0124	43.0935	332.055033	4179.7513513	429.1963	4180.1174	0.1889	-0.0496	0.1127	0.1295	4.3541
18.75	12.1	15.4686	1173.7041	5000.0124	43.0935	328.3281823	4179.4673049	425.4471	4180.0989	0.1873	-0.0497	0.1082	0.1247	4.2961
19.0	12.1	15.7929	1173.7044	5000.0101	43.0935	324.7567012	4179.1466875999995	421.8582	4180.0687	0.1859	-0.0497	0.104	0.1201	4.2395
19.25	12.1	16.1131	1173.7038	5000.0109	43.0935	321.4363942	4178.8558950999995	418.5219	4180.0351	0.1846	-0.0498	0.1	0.1158	4.1844
19.5	12.1	16.4297	1173.7042	5000.0124	43.0935	318.2983781	4178.7422766	415.3592	4179.9924	0.1833	-0.0498	0.0962	0.1117	4.1307
19.75	12.1	16.7428	1173.703	5000.0055	43.0935	315.297584	4178.8207444	412.316	4179.9531	0.1822	-0.0499	0.0926	0.1079	4.0783
20.0	12.1	17.0527	1173.702	5000.0001	43.0935	312.5123235	4179.0107004	409.4842	4179.9141	0.1812	-0.0499	0.0892	0.1043	4.0272
20.25	12.1	17.3597	1173.7007	4999.9974	43.0935	309.9070649	4179.2098879	406.8341	4179.8846	0.1803	-0.05	0.0859	0.1009	3.9774
20.5	12.1	17.6641	1173.6998	4999.9897	43.0935	307.4096548	4179.4690802000005	404.2919	4179.8688	0.1794	-0.05	0.0828	0.0976	3.9288
20.75	12.1	17.9663	1173.6983	4999.9839	43.0935	304.9452151	4179.6100381999995	401.8029	4179.8725	0.1786	-0.0501	0.0798	0.0945	3.8815
21.0	12.1	18.2659	1173.6968	4999.9828	43.0935	302.43821360000004	4179.7016432	399.2721	4179.8997	0.1777	-0.0501	0.077	0.0915	3.8352
21.25	12.1	18.5701	1173.6942	4999.9774	43.0936	299.8914297	4179.5251794	396.7133	4180.0516	0.1768	-0.0501	0.0743	0.0886	3.79
21.5	12.1	18.8726	1173.6967	4999.9755	43.0935	297.4793611	4180.3393272	394.2682	4180.0176	0.1759	-0.0501	0.0718	0.0859	3.7459
21.75	12.1	19.1708	1173.6959	4999.9755	43.0935	295.1608084	4180.0421436999995	391.9574	4180.1651	0.1751	-0.0501	0.0693	0.0833	3.7028
22.0	12.0999	19.477	1173.6881	4999.977	43.0938	292.78356310000004	4180.7291809	389.5332	4180.2397	0.1742	-0.0501	0.067	0.0808	3.6606
22.25	12.1	19.7839	1173.6965	4999.9897	43.0936	290.4067537	4179.8404708	387.1695	4180.2451	0.1734	-0.0502	0.0648	0.0783	3.6195
22.5	12.0999	20.0864	1173.6985	4999.9978	43.0936	288.29724949999996	4181.5905515	385.0129	4180.237	0.1726	-0.0501	0.0627	0.076	3.5791
22.75	12.1	20.3898	1173.7027	4999.9755	43.0933	286.054665	4178.9506956000005	382.8087	4179.98	0.1718	-0.0501	0.0606	0.0738	3.5398
23.0	12.0999	20.6945	1173.695	4999.9947	43.0937	284.09459009999995	4181.2589273	380.7974	4179.9289	0.1712	-0.0501	0.0587	0.0717	3.5012
23.25	12.1	21.0023	1173.6944	4999.9928	43.0937	281.945358	4179.8358551	378.6848	4179.8449	0.1706	-0.0502	0.0568	0.0696	3.4635
23.5	12.0999	21.2929	1173.6877	4999.9793	43.0938	280.1875197	4180.3890354	376.9017	4179.9262	0.1702	-0.0502	0.055	0.0677	3.4265
23.75	12.1	21.5839	1173.6991	4999.9782	43.0934	278.4004712	4180.037883	375.0887	4179.8234	0.1699	-0.0503	0.0533	0.0659	3.3905
24.0	12.1	21.8757	1173.6949	4999.977	43.0935	276.58110619999997	4179.584474	373.3315	4179.9625	0.1696	-0.0504	0.0516	0.0641	3.3551
24.25	12.1	22.154	1173.6951	4999.9816	43.0936	275.0858864	4181.6825115	371.7447	4180.0892	0.1694	-0.0504	0.0501	0.0625	3.3204
24.5	12.1	22.4394	1173.692	4999.9847	43.0937	273.2769303	4179.1559191	370.0566	4180.2122	0.1691	-0.0504	0.0485	0.0608	3.2865
24.75	12.0997	22.7252	1173.6645	5000.0386	43.0952	271.462688	4175.4345567	368.3627	4180.6019	0.1688	-0.0505	0.047	0.0592	3.2532
25.0	12.1	23.0136	1173.7004	4999.992	43.0935	269.8966772	4178.7525732	366.6254	4180.1312	0.1686	-0.0505	0.0457	0.0577	3.2207
